__time,/tool_pose/header/header/stamp,/tool_pose/pose/orientation/pitch,/tool_pose/pose/orientation/roll,/tool_pose/pose/orientation/w,/tool_pose/pose/orientation/x,/tool_pose/pose/orientation/y,/tool_pose/pose/orientation/yaw,/tool_pose/pose/orientation/z,/tool_pose/pose/position/x,/tool_pose/pose/position/y,/tool_pose/pose/position/z
1766484280.040182,1766484280.040069342,-0.000013038,3.141420880,0.000026845,0.382690567,0.923876573,2.356179044,0.000081844,0.474547974,0.053299366,0.368062927
1766484280.055139,1766484280.055059195,-0.000021546,3.141440853,0.000019094,0.382693274,0.923875453,2.356173185,0.000074245,0.474525360,0.053290947,0.368441162
1766484280.070136,1766484280.070062160,-0.000071813,3.141556168,-0.000026192,0.382691306,0.923876270,2.356177446,0.000030595,0.474507080,0.053284271,0.368815186
1766484280.085183,1766484280.085062027,-0.000110648,-3.141539923,0.000061203,-0.382689335,-0.923877085,2.356181707,0.000003186,0.474490662,0.053278301,0.369199493
1766484280.100170,1766484280.100074053,-0.000134303,-3.141483997,0.000082831,-0.382693146,-0.923875505,2.356173451,0.000024494,0.474430603,0.053252670,0.369985046
1766484280.115165,1766484280.115053654,-0.000134303,-3.141483997,0.000082831,-0.382693146,-0.923875505,2.356173451,0.000024494,0.474430603,0.053252670,0.369985046
1766484280.130156,1766484280.130058527,-0.000109754,-3.141539124,0.000060942,-0.382691181,-0.923876321,2.356177712,0.000003726,0.474427979,0.053252045,0.370425171
1766484280.145261,1766484280.145071745,-0.000085872,3.141592654,-0.000039667,0.382693889,0.923875200,2.356171853,0.000016431,0.474430603,0.053253475,0.370846313
1766484280.160166,1766484280.160055876,-0.000097437,-3.141565489,0.000050208,-0.382692043,-0.923875965,2.356175848,-0.000006096,0.474411530,0.053246494,0.371271454
1766484280.175143,1766484280.175052643,-0.000139516,-3.141492519,0.000083608,-0.382693023,-0.923875556,2.356173718,0.000019560,0.474384613,0.053234558,0.371646759
1766484280.190174,1766484280.190058231,-0.000149024,-3.141469882,0.000092332,-0.382695606,-0.923874485,2.356168125,0.000028197,0.474375153,0.053231297,0.372049255
1766484280.205166,1766484280.205056190,-0.000086486,3.141574810,-0.000036537,0.382691921,0.923876015,2.356176114,0.000024791,0.474363525,0.053227604,0.372957855
1766484280.220159,1766484280.220054865,-0.000086486,3.141574810,-0.000036537,0.382691921,0.923876015,2.356176114,0.000024791,0.474363525,0.053227604,0.372957855
1766484280.235233,1766484280.235071898,-0.000043827,3.141478937,0.000001514,0.382693029,0.923875556,2.356173718,0.000060916,0.474350983,0.053220016,0.373404266
1766484280.250223,1766484280.250074387,-0.000015420,3.141415287,0.000026816,0.382695488,0.923874535,2.356168391,0.000084883,0.474352478,0.053221046,0.373881165
1766484280.265206,1766484280.265070438,-0.000008447,3.141400373,0.000032890,0.382693765,0.923875248,2.356172120,0.000090438,0.474340118,0.053216663,0.374300018
1766484280.280150,1766484280.280062437,-0.000011586,3.141408363,0.000029911,0.382691797,0.923876063,2.356176381,0.000087348,0.474307007,0.053204144,0.374711792
1766484280.295148,1766484280.295056343,-0.000044671,3.141484796,0.000000003,0.382694382,0.923874995,2.356170788,0.000058371,0.474273102,0.053191380,0.375079773
1766484280.310219,1766484280.310078859,-0.000102092,-3.141568951,0.000051695,-0.382695610,-0.923874487,2.356168125,-0.000008586,0.474254913,0.053181602,0.375404785
1766484280.325162,1766484280.325069427,-0.000124831,-3.141515955,0.000072340,-0.382693640,-0.923875301,2.356172386,0.000011544,0.474247559,0.053179157,0.375815430
1766484280.340208,1766484280.340077162,-0.000124831,-3.141515955,0.000072340,-0.382693640,-0.923875301,2.356172386,0.000011544,0.474247559,0.053179157,0.375815430
1766484280.355197,1766484280.355079651,-0.000140663,-3.141478937,0.000086737,-0.382696344,-0.923874180,2.356166527,0.000025614,0.474221924,0.053169609,0.376213196
1766484280.370151,1766484280.370064735,-0.000110472,-3.141546581,0.000059847,-0.382694379,-0.923874996,2.356170788,0.000000144,0.474191620,0.053158218,0.376677612
1766484280.385113,1766484280.385051966,-0.000068060,3.141543385,-0.000022012,0.382692536,0.923875760,2.356174783,0.000035782,0.474181000,0.053154465,0.377132813
1766484280.400123,1766484280.400053263,-0.000058764,3.141523145,-0.000013845,0.382695366,0.923874588,2.356168658,0.000043353,0.474176331,0.053153015,0.377529633
1766484280.415125,1766484280.415052891,-0.000079044,3.141570283,-0.000032233,0.382696227,0.923874232,2.356166793,0.000025459,0.474150909,0.053140491,0.377941467
1766484280.430167,1766484280.430064917,-0.000099324,-3.141567620,0.000050672,-0.382694380,-0.923874996,2.356170788,-0.000007441,0.474117340,0.053127804,0.378325623
1766484280.445198,1766484280.445065737,-0.000117358,-3.141525276,0.000067105,-0.382696839,-0.923873977,2.356165462,0.000008668,0.474095551,0.053119774,0.378748657
1766484280.460173,1766484280.460071564,-0.000086145,3.141590257,-0.000039335,0.382694873,0.923874793,2.356169723,0.000017591,0.474090881,0.053118378,0.379222137
1766484280.475130,1766484280.475056171,-0.000003388,3.141402770,0.000034769,0.382693273,0.923875452,2.356173185,0.000088363,0.474085297,0.053116528,0.379685516
1766484280.490152,1766484280.490063429,0.000053507,3.141274406,0.000085612,0.382691543,0.923876159,2.356176913,0.000136772,0.474065796,0.053109364,0.380173279
1766484280.505508,1766484280.505127668,0.000046039,3.141292515,0.000078698,0.382694005,0.923875141,2.356171587,0.000129836,0.474051636,0.053104286,0.380595306
1766484280.520136,1766484280.520053625,0.000002899,3.141392118,0.000039711,0.382692165,0.923875910,2.356175582,0.000092081,0.474026581,0.053094944,0.380961182
1766484280.535172,1766484280.535065889,-0.000053735,3.141522080,-0.000011318,0.382690076,0.923876780,2.356180109,0.000042883,0.473984558,0.053078999,0.381331512
1766484280.550124,1766484280.550054312,-0.000092534,-3.141573745,0.000046363,-0.382692781,-0.923875659,2.356174250,-0.000008972,0.473938690,0.053061569,0.381715515
1766484280.565205,1766484280.565083265,-0.000075322,3.141573745,-0.000031176,0.382693889,0.923875200,2.356171853,0.000023147,0.473917206,0.053050480,0.382113159
1766484280.580116,1766484280.580052137,-0.000071863,3.141567087,-0.000028304,0.382692167,0.923875914,2.356175582,0.000025561,0.473901672,0.053044834,0.382525757
1766484280.595184,1766484280.595080853,-0.000088688,-3.141579071,0.000043567,-0.382694750,-0.923874844,2.356169989,-0.000010696,0.473870911,0.053033249,0.382919464
1766484280.610485,1766484280.610154390,-0.000093924,-3.141565489,0.000048585,-0.382692781,-0.923875659,2.356174250,-0.000005424,0.473832611,0.053018776,0.383357086
1766484280.625189,1766484280.625068903,-0.000084858,-3.141584930,0.000040677,-0.382690813,-0.923876474,2.356178511,-0.000012670,0.473804352,0.053008167,0.383794342
1766484280.640132,1766484280.640057802,-0.000079550,3.141589458,-0.000036135,0.382693520,0.923875353,2.356172652,0.000016698,0.473792114,0.053003803,0.384190796
1766484280.655250,1766484280.655076027,-0.000077085,3.141585197,-0.000034182,0.382691798,0.923876067,2.356176381,0.000018195,0.473778381,0.052998848,0.384599030
1766484280.670195,1766484280.670073032,-0.000079648,3.141592654,-0.000036793,0.382690075,0.923876780,2.356180109,0.000015240,0.473747253,0.052987087,0.384999084
1766484280.685121,1766484280.685052156,-0.000071042,3.141574011,-0.000029250,0.382695366,0.923874589,2.356168658,0.000022205,0.473710052,0.052969971,0.385450317
1766484280.700162,1766484280.700066805,-0.000046981,3.141520482,-0.000007893,0.382693521,0.923875353,2.356172652,0.000042329,0.473688385,0.052961922,0.385907318
1766484280.715110,1766484280.715052128,-0.000046981,3.141520482,-0.000007893,0.382693521,0.923875353,2.356172652,0.000042329,0.473688385,0.052961922,0.385907318
1766484280.730168,1766484280.730067253,-0.000010116,3.141437924,0.000024934,0.382691797,0.923876064,2.356176381,0.000073411,0.473687042,0.052961788,0.386340210
1766484280.745149,1766484280.745059729,0.000000000,3.141416619,0.000033684,0.382694257,0.923875045,2.356171054,0.000081317,0.473677582,0.052958530,0.386793335
1766484280.760227,1766484280.760078907,0.000013291,3.141387324,0.000045429,0.382692410,0.923875808,2.356175049,0.000092306,0.473644409,0.052946014,0.387216919
1766484280.775191,1766484280.775073051,-0.000023147,3.141471480,0.000012494,0.382690691,0.923876524,2.356178778,0.000060404,0.473594513,0.052926941,0.387577667
1766484280.790247,1766484280.790085554,-0.000078284,-3.141587061,0.000037232,-0.382693274,-0.923875455,2.356173185,-0.000012396,0.473543762,0.052907589,0.387946472
1766484280.805133,1766484280.805054426,-0.000112212,-3.141508498,0.000067938,-0.382691426,-0.923876219,2.356177180,0.000017403,0.473504120,0.052892551,0.388311707
1766484280.820314,1766484280.820081234,-0.000127727,-3.141471746,0.000082137,-0.382692408,-0.923875810,2.356175049,0.000031412,0.473461792,0.052873375,0.388710632
1766484280.835151,1766484280.835058689,-0.000127321,-3.141471213,0.000082051,-0.382694991,-0.923874740,2.356169456,0.000031735,0.473430939,0.052861740,0.389134583
1766484280.850120,1766484280.850051641,-0.000104286,-3.141522346,0.000061627,-0.382693272,-0.923875455,2.356173185,0.000012523,0.473423462,0.052859245,0.389554596
1766484280.865182,1766484280.865070105,-0.000104286,-3.141522346,0.000061627,-0.382693272,-0.923875455,2.356173185,0.000012523,0.473423462,0.052859245,0.389554596
1766484280.880163,1766484280.880060673,-0.000090751,-3.141551641,0.000049769,-0.382691181,-0.923876321,2.356177712,0.000001581,0.473400269,0.052850620,0.390015076
1766484280.895177,1766484280.895062923,-0.000059454,3.141540722,-0.000017527,0.382692905,0.923875608,2.356173984,0.000035366,0.473324158,0.052822792,0.390732239
1766484280.910117,1766484280.910049200,-0.000080892,3.141591056,-0.000037061,0.382691059,0.923876372,2.356177979,0.000016216,0.473292145,0.052810711,0.391114441
1766484280.925475,1766484280.925145388,-0.000102282,-3.141544184,0.000056522,-0.382691919,-0.923876015,2.356176114,0.000002819,0.473272705,0.052800518,0.391533112
1766484280.940153,1766484280.940060854,-0.000100572,-3.141546581,0.000055274,-0.382694503,-0.923874945,2.356170522,0.000002038,0.473246368,0.052790642,0.391956146
1766484280.955168,1766484280.955061436,-0.000035188,3.141491453,0.000003109,0.382692782,0.923875658,2.356174250,0.000053481,0.473222717,0.052781788,0.392434021
1766484280.970164,1766484280.970065355,0.000005224,3.141400906,0.000039103,0.382691058,0.923876369,2.356177979,0.000087576,0.473205414,0.052775414,0.392882324
1766484280.985170,1766484280.985069513,0.000009327,3.141392650,0.000042579,0.382693518,0.923875349,2.356172652,0.000090604,0.473189697,0.052769753,0.393317657
