__time,/force/header/stamp/nanosec,/force/header/stamp/sec,/force/wrench/force/x,/force/wrench/force/y,/force/wrench/force/z,/force/wrench/torque/x,/force/wrench/torque/y,/force/wrench/torque/z
1766484208.673999,9400.000000000,1766484208.000000000,-14.596320198,-4.751685960,-0.685975616,0.265770577,0.370938061,0.236549170
1766484208.689371,9401.000000000,1766484208.000000000,-15.508590210,-4.598405768,-0.838414641,0.268825411,0.370938061,0.238095243
1766484208.705390,9402.000000000,1766484208.000000000,-14.900410202,-3.755364710,-0.609756103,0.270352828,0.372470863,0.238095243
1766484208.721951,9403.000000000,1766484208.000000000,-14.824387701,-4.291845383,-0.381097564,0.267297994,0.369405259,0.235003097
1766484208.737609,9404.000000000,1766484208.000000000,-14.976432703,-4.138565191,-0.381097564,0.268825411,0.366339655,0.238095243
1766484208.753195,9405.000000000,1766484208.000000000,-14.444275196,-3.142243941,-0.381097564,0.270352828,0.372470863,0.241187389
1766484208.769299,9406.000000000,1766484208.000000000,-14.520297697,-3.908644903,-0.609756103,0.268825411,0.367872457,0.241187389
1766484208.785167,9407.000000000,1766484208.000000000,-14.444275196,-3.448804326,-0.457317077,0.267297994,0.370938061,0.238095243
1766484208.801625,9408.000000000,1766484208.000000000,-15.052455204,-4.904966152,-0.381097564,0.265770577,0.367872457,0.233457024
1766484208.817888,9409.000000000,1766484208.000000000,-15.356545208,-4.751685960,-0.533536590,0.267297994,0.374003665,0.241187389
1766484208.834158,9410.000000000,1766484208.000000000,-14.900410202,-3.908644903,-0.762195129,0.267297994,0.372470863,0.238095243
1766484208.849360,9411.000000000,1766484208.000000000,-15.052455204,-3.602084518,-0.609756103,0.264243160,0.375536467,0.238095243
1766484208.865672,9412.000000000,1766484208.000000000,-14.140185191,-3.448804326,-0.533536590,0.267297994,0.364806853,0.244279535
1766484208.881261,9413.000000000,1766484208.000000000,-14.444275196,-4.061925095,-0.381097564,0.271880245,0.366339655,0.238095243
1766484208.897902,9414.000000000,1766484208.000000000,-14.748365200,-3.602084518,-0.762195129,0.268825411,0.374003665,0.238095243
1766484208.913412,9415.000000000,1766484208.000000000,-14.596320198,-3.295524133,-0.685975616,0.265770577,0.369405259,0.248917754
1766484208.930371,9416.000000000,1766484208.000000000,-14.900410202,-3.755364710,-0.685975616,0.265770577,0.377069269,0.230364878
1766484208.946175,9417.000000000,1766484208.000000000,-14.444275196,-4.138565191,-0.609756103,0.268825411,0.366339655,0.236549170
1766484208.961785,9418.000000000,1766484208.000000000,-14.976432703,-3.755364710,-0.609756103,0.265770577,0.374003665,0.227272732
1766484208.977460,9419.000000000,1766484208.000000000,-14.596320198,-4.291845383,-0.685975616,0.265770577,0.369405259,0.236549170
1766484208.994210,9420.000000000,1766484208.000000000,-14.444275196,-3.295524133,-0.838414641,0.268825411,0.372470863,0.242733462
1766484209.009506,9421.000000000,1766484209.000000000,-14.596320198,-2.988963749,-0.685975616,0.259660909,0.369405259,0.236549170
1766484209.025397,9422.000000000,1766484209.000000000,-14.976432703,-3.602084518,-0.685975616,0.268825411,0.366339655,0.244279535
1766484209.042404,9423.000000000,1766484209.000000000,-14.064162690,-3.908644903,-0.457317077,0.268825411,0.367872457,0.241187389
1766484209.057721,9424.000000000,1766484209.000000000,-14.520297697,-2.988963749,-0.457317077,0.265770577,0.367872457,0.241187389
1766484209.074269,9425.000000000,1766484209.000000000,-15.128477705,-3.908644903,-0.457317077,0.268825411,0.372470863,0.235003097
1766484209.089472,9426.000000000,1766484209.000000000,-14.444275196,-3.755364710,-0.990853667,0.267297994,0.374003665,0.241187389
1766484209.105641,9427.000000000,1766484209.000000000,-14.748365200,-3.908644903,-0.533536590,0.267297994,0.367872457,0.238095243
1766484209.121849,9428.000000000,1766484209.000000000,-14.976432703,-3.755364710,-0.914634154,0.265770577,0.374003665,0.239641316
1766484209.137137,9429.000000000,1766484209.000000000,-14.976432703,-3.755364710,-0.914634154,0.265770577,0.374003665,0.239641316
1766484209.153483,9430.000000000,1766484209.000000000,-14.748365200,-2.375842980,-0.990853667,0.268825411,0.367872457,0.239641316
1766484209.169708,9431.000000000,1766484209.000000000,-14.900410202,-3.908644903,-0.685975616,0.268825411,0.364806853,0.239641316
1766484209.185279,9432.000000000,1766484209.000000000,-15.356545208,-3.602084518,-0.381097564,0.268825411,0.369405259,0.239641316
1766484209.201669,9433.000000000,1766484209.000000000,-15.508590210,-3.755364710,-0.609756103,0.265770577,0.370938061,0.230364878
1766484209.217975,9434.000000000,1766484209.000000000,-14.292230194,-3.755364710,-0.914634154,0.265770577,0.370938061,0.239641316
1766484209.233643,9435.000000000,1766484209.000000000,-14.900410202,-4.291845383,-0.609756103,0.265770577,0.366339655,0.224180586
1766484209.249397,9436.000000000,1766484209.000000000,-15.356545208,-3.908644903,-0.457317077,0.268825411,0.364806853,0.227272732
1766484209.265283,9437.000000000,1766484209.000000000,-14.976432703,-3.755364710,-0.914634154,0.265770577,0.374003665,0.227272732
1766484209.281974,9438.000000000,1766484209.000000000,-14.748365200,-3.295524133,-0.609756103,0.268825411,0.367872457,0.236549170
1766484209.297629,9439.000000000,1766484209.000000000,-14.748365200,-4.215205287,-0.381097564,0.265770577,0.366339655,0.239641316
1766484209.313357,9440.000000000,1766484209.000000000,-14.672342699,-3.908644903,-0.990853667,0.268825411,0.372470863,0.247371681
1766484209.329324,9441.000000000,1766484209.000000000,-15.356545208,-4.445125575,-0.685975616,0.267297994,0.372470863,0.238095243
1766484209.345952,9442.000000000,1766484209.000000000,-15.204500206,-3.142243941,-0.838414641,0.268825411,0.374003665,0.231910951
1766484209.361548,9443.000000000,1766484209.000000000,-15.128477705,-4.368485479,-0.914634154,0.268825411,0.372470863,0.247371681
1766484209.377454,9444.000000000,1766484209.000000000,-15.204500206,-3.908644903,-0.609756103,0.264243160,0.369405259,0.241187389
1766484209.394250,9445.000000000,1766484209.000000000,-14.368252695,-3.602084518,-0.533536590,0.270352828,0.369405259,0.247371681
1766484209.409656,9446.000000000,1766484209.000000000,-14.824387701,-3.755364710,-0.685975616,0.267297994,0.369405259,0.241187389
1766484209.425289,9447.000000000,1766484209.000000000,-14.520297697,-3.218884037,-0.609756103,0.267297994,0.374003665,0.241187389
1766484209.441823,9448.000000000,1766484209.000000000,-14.292230194,-4.138565191,-0.304878051,0.273407663,0.367872457,0.238095243
1766484209.457006,9449.000000000,1766484209.000000000,-15.052455204,-4.215205287,-0.304878051,0.267297994,0.377069269,0.228818805
1766484209.473396,9450.000000000,1766484209.000000000,-15.052455204,-3.602084518,-0.381097564,0.264243160,0.375536467,0.238095243
1766484209.489775,9451.000000000,1766484209.000000000,-14.292230194,-3.908644903,-0.533536590,0.267297994,0.369405259,0.238095243
1766484209.506116,9452.000000000,1766484209.000000000,-15.204500206,-3.448804326,-0.076219513,0.267297994,0.367872457,0.231910951
1766484209.521338,9453.000000000,1766484209.000000000,-15.052455204,-2.988963749,-0.762195129,0.271880245,0.369405259,0.225726659
1766484209.537708,9454.000000000,1766484209.000000000,-14.444275196,-4.138565191,-0.533536590,0.268825411,0.366339655,0.238095243
1766484209.553131,9455.000000000,1766484209.000000000,-15.128477705,-3.908644903,-0.762195129,0.265770577,0.372470863,0.241187389
1766484209.569882,9456.000000000,1766484209.000000000,-14.672342699,-4.598405768,-0.609756103,0.267297994,0.366339655,0.233457024
1766484209.585501,9457.000000000,1766484209.000000000,-15.356545208,-4.215205287,-0.457317077,0.267297994,0.369405259,0.235003097
1766484209.601220,9458.000000000,1766484209.000000000,-15.052455204,-4.291845383,-0.762195129,0.265770577,0.370938061,0.238095243
1766484209.617917,9459.000000000,1766484209.000000000,-15.356545208,-3.908644903,-0.457317077,0.267297994,0.372470863,0.231910951
1766484209.633477,9460.000000000,1766484209.000000000,-14.976432703,-3.832004806,-0.533536590,0.270352828,0.367872457,0.228818805
1766484209.649253,9461.000000000,1766484209.000000000,-14.748365200,-3.448804326,-0.152439026,0.267297994,0.367872457,0.238095243
1766484209.665161,9462.000000000,1766484209.000000000,-14.596320198,-3.448804326,-0.304878051,0.267297994,0.364806853,0.238095243
1766484209.681929,9463.000000000,1766484209.000000000,-14.368252695,-4.291845383,-0.381097564,0.270352828,0.364806853,0.227272732
1766484209.697646,9464.000000000,1766484209.000000000,-14.368252695,-3.218884037,-0.304878051,0.267297994,0.369405259,0.235003097
1766484209.713210,9465.000000000,1766484209.000000000,-14.976432703,-4.445125575,-0.228658539,0.267297994,0.367872457,0.228818805
1766484209.729982,9466.000000000,1766484209.000000000,-15.660635212,-3.985284999,-0.381097564,0.267297994,0.375536467,0.235003097
1766484209.745459,9467.000000000,1766484209.000000000,-15.052455204,-3.908644903,-0.533536590,0.271880245,0.370938061,0.238095243
1766484209.761171,9468.000000000,1766484209.000000000,-14.444275196,-3.755364710,-0.533536590,0.270352828,0.372470863,0.238095243
1766484209.778098,9469.000000000,1766484209.000000000,-13.988140189,-3.602084518,-0.457317077,0.270352828,0.366339655,0.244279535
1766484209.793506,9470.000000000,1766484209.000000000,-14.596320198,-4.138565191,-0.076219513,0.270352828,0.369405259,0.244279535
1766484209.809039,9471.000000000,1766484209.000000000,-14.444275196,-3.755364710,-0.533536590,0.270352828,0.372470863,0.238095243
1766484209.825866,9472.000000000,1766484209.000000000,-14.596320198,-3.755364710,-0.609756103,0.268825411,0.369405259,0.225726659
