__time,/force/header/stamp/nanosec,/force/header/stamp/sec,/force/wrench/force/x,/force/wrench/force/y,/force/wrench/force/z,/force/wrench/torque/x,/force/wrench/torque/y,/force/wrench/torque/z
1766484842.013637,48999.000000000,1766484842.000000000,-14.368252695,-2.529123172,0.838414641,0.288681834,0.389331684,0.208719856
1766484842.029178,49000.000000000,1766484842.000000000,-14.672342699,-2.452483076,0.838414641,0.290209251,0.389331684,0.211812002
1766484842.045565,49001.000000000,1766484842.000000000,-13.912117688,-3.832004806,0.914634154,0.290209251,0.384733278,0.208719856
1766484842.061133,49002.000000000,1766484842.000000000,-14.368252695,-2.759043461,0.762195129,0.288681834,0.387798882,0.211812002
1766484842.077565,49003.000000000,1766484842.000000000,-14.216207692,-3.218884037,1.067073180,0.288681834,0.384733278,0.211812002
1766484842.093867,49004.000000000,1766484842.000000000,-14.368252695,-2.452483076,0.457317077,0.288681834,0.386266080,0.214904148
1766484842.110087,49005.000000000,1766484842.000000000,-14.976432703,-2.605763268,0.762195129,0.287154417,0.386266080,0.211812002
1766484842.125235,49006.000000000,1766484842.000000000,-14.064162690,-3.295524133,1.143292693,0.287154417,0.387798882,0.219542367
1766484842.141582,49007.000000000,1766484842.000000000,-14.672342699,-3.295524133,0.914634154,0.285626999,0.381667674,0.224180586
1766484842.157825,49008.000000000,1766484842.000000000,-14.520297697,-3.065603845,0.762195129,0.287154417,0.386266080,0.211812002
1766484842.174111,49009.000000000,1766484842.000000000,-14.368252695,-3.218884037,0.762195129,0.288681834,0.387798882,0.217996294
1766484842.189314,49010.000000000,1766484842.000000000,-14.368252695,-3.065603845,0.838414641,0.285626999,0.386266080,0.216450221
1766484842.205616,49011.000000000,1766484842.000000000,-14.672342699,-2.605763268,0.838414641,0.290209251,0.387798882,0.227272732
1766484842.221923,49012.000000000,1766484842.000000000,-14.216207692,-3.065603845,1.143292693,0.285626999,0.381667674,0.221088440
1766484842.237245,49013.000000000,1766484842.000000000,-14.216207692,-2.988963749,0.838414641,0.288681834,0.384733278,0.214904148
1766484842.253823,49014.000000000,1766484842.000000000,-14.672342699,-2.988963749,0.914634154,0.287154417,0.389331684,0.222634513
1766484842.270159,49015.000000000,1766484842.000000000,-14.976432703,-3.602084518,0.990853667,0.285626999,0.389331684,0.228818805
1766484842.285506,49016.000000000,1766484842.000000000,-14.368252695,-3.525444422,0.762195129,0.287154417,0.384733278,0.211812002
1766484842.301767,49017.000000000,1766484842.000000000,-14.216207692,-3.602084518,0.685975616,0.285626999,0.384733278,0.207173783
